,Modelo Base,Modelo Optimizado
accuracy,0.896,0.8373333333333334
precision,0.74,0.5099009900990099
recall,0.5873015873015873,0.8174603174603174
specificity,0.9583333333333334,0.8413461538461539
f1,0.6548672566371682,0.6280487804878049
f2,0.6125827814569537,0.7294617563739377
roc_auc,0.888640873015873,0.8929080179080179
balanced_acc,0.7728174603174603,0.8294032356532357
avg_precision,0.7006882762926656,0.713360638904472
mcc,0.600099198148979,0.5552255716673833
fp,26.0,99.0
fn,52.0,23.0
threshold,0.5,0.45
training_time,51.83025288581848,3968.0702452659607
inference_time,28.509061336517334,27.709803581237793
