id_estudiante,promedio_general,promedio_actual,asistencia_promedio,materias_reprobadas,materias_recursadas,materias_inscritas,materias_aprobadas,cuatrimestre_actual,cuatrimestres_retraso,parciales_reprobados,calificacion_minima_parcial,calificacion_maxima_parcial,beneficiario_beca,turno,preferencia_carrera,foraneo,trabaja,edad_ingreso,desercion
ISW-2022-00001,9.19,8.72,0.8496,0,0,6,35,6,1,14,6.9,9.9,0,1,0,1,1,19,0
ISW-2023-00002,7.97,7.73,0.9277,0,0,7,14,3,0,18,4.3,8.8,0,1,0,1,1,25,0
ISW-2025-00003,10.0,9.78,0.807,1,1,7,41,7,1,12,7.7,10.0,1,0,0,0,1,23,1
ISW-2023-00004,7.57,7.41,0.8183,3,2,7,25,5,1,23,4.8,7.7,0,0,2,0,0,28,1
ISW-2021-00005,8.45,8.47,0.9518,0,0,7,0,1,0,0,6.3,9.5,0,0,0,0,0,22,0
ISW-2024-00006,7.02,6.73,0.822,3,2,7,53,9,1,85,3.7,7.5,0,0,0,0,0,28,1
ISW-2025-00007,9.67,9.59,0.8402,1,1,7,27,5,1,7,8.0,10.0,1,0,0,0,0,25,0
ISW-2023-00008,5.78,6.17,0.8415,0,0,6,35,6,0,61,4.9,7.9,0,3,2,0,1,30,0
ISW-2020-00009,7.47,7.23,0.8823,0,0,5,0,1,0,0,4.9,7.7,1,0,0,1,1,26,0
ISW-2022-00010,9.19,9.75,0.8023,2,1,7,12,3,0,2,8.5,10.0,0,0,0,0,1,23,0
ISW-2023-00011,8.17,8.09,0.9585,2,1,6,5,2,0,4,5.4,9.8,0,1,0,0,0,28,0
ISW-2021-00012,8.95,8.57,0.934,0,0,6,49,8,1,31,6.8,9.1,0,1,0,1,0,18,0
ISW-2021-00013,7.79,8.0,0.8781,2,2,7,19,4,1,11,4.7,9.6,0,0,2,0,1,21,0
ISW-2024-00014,8.17,7.95,0.8442,1,1,6,34,6,1,26,5.4,8.8,1,0,1,0,0,21,0
ISW-2023-00015,9.33,9.25,0.8751,1,1,5,13,3,0,6,6.5,10.0,0,3,0,0,0,23,0
ISW-2023-00016,8.74,8.52,0.8125,1,0,5,6,2,1,2,6.6,9.0,0,0,2,0,1,21,0
ISW-2018-00017,6.51,6.58,0.8072,0,0,6,21,4,1,34,5.3,8.0,0,1,0,0,1,24,0
ISW-2024-00018,7.89,7.54,0.8413,0,0,7,0,1,0,0,5.1,8.4,0,2,2,0,0,18,0
ISW-2025-00019,8.05,7.93,0.8564,1,1,5,34,6,0,31,6.9,8.6,0,0,0,1,0,18,0
ISW-2025-00020,9.34,8.86,0.9251,0,0,6,21,4,1,17,7.7,9.5,0,1,0,0,1,26,0
ISW-2023-00021,8.87,8.36,0.8019,2,1,5,26,5,1,16,5.1,9.2,1,0,2,1,1,23,1
ISW-2022-00022,8.47,8.56,0.8392,1,1,6,6,2,0,5,6.6,9.5,1,0,2,1,0,20,0
ISW-2021-00023,7.55,7.59,0.7053,1,1,6,55,9,0,80,5.1,8.9,1,0,1,0,1,27,0
ISW-2025-00024,7.38,7.15,0.8365,1,0,7,41,7,0,49,4.8,8.8,0,3,1,0,0,25,0
ISW-2025-00025,6.65,6.58,0.7394,1,1,6,34,6,1,66,4.5,7.4,0,0,2,1,1,20,1
ISW-2020-00026,7.44,7.37,0.5616,0,0,5,0,1,0,0,4.5,9.0,0,0,1,0,1,21,0
ISW-2022-00027,8.09,8.61,0.8094,0,0,7,14,3,0,12,5.5,9.7,0,3,0,0,1,19,0
ISW-2021-00028,7.65,8.17,0.9475,0,0,5,0,1,0,0,4.7,9.5,0,0,0,0,1,24,0
ISW-2024-00029,7.73,7.25,0.8763,0,0,5,0,1,0,0,3.9,9.0,0,2,1,1,0,23,0
ISW-2018-00030,7.24,6.73,0.9326,5,4,7,23,5,1,51,3.8,7.9,0,1,1,0,0,23,1
ISW-2019-00031,7.31,7.3,0.9032,1,1,7,27,5,1,34,4.4,7.8,0,1,2,0,1,21,1
ISW-2022-00032,10.0,9.85,0.9614,2,1,7,54,9,1,24,7.0,10.0,1,2,0,0,0,22,0
ISW-2022-00033,8.01,8.04,0.6419,0,0,5,7,2,1,11,6.5,9.1,0,1,0,1,1,21,0
ISW-2022-00034,8.9,8.99,0.8006,0,0,5,7,2,1,0,6.8,9.9,0,0,0,0,0,24,0
ISW-2022-00035,7.93,8.1,0.8078,3,2,7,11,3,0,11,6.5,8.7,0,3,2,1,0,22,1
ISW-2021-00036,8.09,8.19,0.8906,0,0,7,0,1,0,0,4.9,8.8,0,3,0,0,1,21,0
ISW-2018-00037,8.11,8.2,0.8885,0,0,5,0,1,0,0,4.7,8.6,1,2,2,0,0,20,0
ISW-2018-00038,7.39,7.93,0.9925,1,0,6,13,3,1,11,4.8,8.8,0,1,0,0,1,29,0
ISW-2025-00039,7.28,7.75,0.8266,2,2,6,5,2,0,7,4.5,8.4,1,1,0,0,0,22,0
ISW-2024-00040,8.06,8.41,0.7781,4,2,5,17,4,2,25,5.4,9.8,1,1,2,0,0,22,1
ISW-2021-00041,8.36,8.08,0.8344,2,1,6,12,3,1,9,6.0,8.7,0,0,0,1,0,21,0
ISW-2019-00042,7.93,7.82,0.7958,0,0,5,35,6,0,48,5.0,9.5,0,1,2,0,0,20,0
ISW-2023-00043,7.41,6.95,0.8736,3,2,7,25,5,1,39,3.6,8.4,0,1,0,1,1,20,0
ISW-2025-00044,7.4,7.67,0.8313,1,1,7,6,2,0,7,6.7,8.0,0,1,0,0,0,23,0
ISW-2022-00045,9.14,8.89,0.8397,1,1,5,34,6,0,12,8.1,9.2,0,0,1,0,0,25,0
ISW-2022-00046,8.09,8.06,0.899,0,0,5,35,6,1,39,5.3,8.8,1,1,2,0,1,20,0
ISW-2023-00047,9.18,9.32,0.8748,0,0,7,7,2,1,2,6.8,10.0,0,1,0,1,0,23,0
ISW-2020-00048,8.0,8.03,0.8675,2,1,6,5,2,1,4,5.7,9.5,1,0,0,0,0,20,0
ISW-2018-00049,7.82,7.96,0.7913,5,2,7,23,5,1,38,5.9,8.7,0,3,1,0,1,25,1
ISW-2025-00050,8.27,8.52,0.7912,0,0,6,0,1,0,0,6.8,9.4,1,1,2,0,1,18,0
ISW-2025-00051,9.26,8.96,0.8172,0,0,7,0,1,0,0,7.5,9.4,0,0,2,0,0,25,0
ISW-2018-00052,7.06,7.41,0.8713,0,0,5,0,1,0,0,5.8,8.6,0,0,2,0,1,22,0
ISW-2023-00053,8.63,8.93,0.8418,1,1,7,34,6,1,16,6.4,9.4,0,1,0,1,0,26,0
ISW-2019-00054,8.03,8.08,0.6777,0,0,5,21,4,0,25,5.4,9.0,0,0,1,0,0,25,0
ISW-2024-00055,8.15,8.14,0.7719,0,0,5,28,5,1,34,6.1,9.2,1,2,2,1,0,25,0
ISW-2022-00056,7.11,7.34,0.771,3,1,7,32,6,0,74,6.4,8.3,0,0,2,0,1,24,1
ISW-2020-00057,6.84,6.82,0.6493,3,2,6,11,3,0,28,5.2,8.1,0,0,2,1,0,22,0
ISW-2018-00058,5.86,5.89,0.8198,4,3,7,17,4,1,31,4.7,6.3,0,0,2,1,1,26,0
ISW-2020-00059,7.79,8.16,0.8918,0,0,6,0,1,0,0,5.1,9.6,0,1,2,1,0,22,0
ISW-2024-00060,8.74,8.7,0.8292,0,0,5,0,1,0,0,6.8,10.0,0,3,0,1,0,21,0
ISW-2025-00061,9.32,8.59,0.9191,2,1,5,19,4,0,9,5.8,9.6,0,2,0,1,1,21,0
ISW-2018-00062,6.35,6.59,0.8197,1,1,6,13,3,0,30,4.2,7.9,0,1,2,0,1,23,0
ISW-2018-00063,9.33,9.16,0.7754,4,3,6,17,4,1,20,5.7,10.0,0,2,0,0,0,19,1
ISW-2020-00064,9.17,9.07,0.8356,1,0,6,27,5,1,13,7.2,10.0,0,0,0,0,0,21,0
ISW-2018-00065,8.59,8.74,0.8754,0,0,6,21,4,0,8,6.6,10.0,1,1,0,0,1,22,0
ISW-2021-00066,8.8,9.01,0.8093,0,0,6,21,4,1,10,7.2,10.0,0,3,1,0,0,28,0
ISW-2023-00067,6.72,6.77,0.7434,2,1,6,19,4,1,42,4.3,8.5,0,0,2,0,0,29,1
ISW-2025-00068,8.36,8.27,0.8598,1,0,5,6,2,0,4,6.2,8.8,0,3,2,1,0,21,0
ISW-2020-00069,8.4,8.41,0.9038,0,0,6,0,1,0,0,5.4,9.2,0,0,0,0,1,21,0
ISW-2019-00070,9.17,9.14,0.7981,2,1,6,12,3,1,14,8.0,10.0,0,0,0,0,0,28,1
ISW-2018-00071,9.74,9.99,0.9084,0,0,5,0,1,0,0,9.1,10.0,0,1,0,0,0,24,0
ISW-2023-00072,6.82,7.25,0.7828,1,1,6,13,3,0,24,5.1,8.1,0,3,2,1,0,23,1
ISW-2021-00073,9.01,8.96,0.8805,1,1,7,41,7,1,19,6.8,9.3,0,0,0,0,0,21,0
ISW-2019-00074,7.47,7.37,0.8793,3,3,6,4,2,0,10,4.3,8.0,0,2,1,0,0,21,1
ISW-2024-00075,10.0,9.89,0.9562,0,0,5,0,1,0,0,8.5,10.0,1,0,1,0,0,18,0
ISW-2025-00076,7.68,7.17,0.8304,3,1,6,4,2,1,10,5.8,8.0,0,1,1,1,1,22,0
ISW-2025-00077,8.5,8.07,0.893,3,2,7,4,2,1,6,5.9,9.0,0,1,1,0,0,22,0
ISW-2020-00078,8.23,8.49,0.7867,2,1,7,19,4,0,25,5.0,9.9,0,0,1,0,0,21,1
ISW-2019-00079,7.81,7.61,0.944,2,1,6,19,4,0,18,6.4,8.9,0,1,1,0,1,25,0
ISW-2024-00080,7.98,8.12,0.905,0,0,5,35,6,0,28,6.1,9.2,1,1,0,0,0,22,0
ISW-2020-00081,5.22,5.16,0.6736,10,8,6,11,4,2,38,2.0,6.5,0,1,0,1,0,21,0
ISW-2018-00082,8.31,8.07,0.9612,1,1,5,13,3,1,11,6.8,9.9,0,0,0,0,0,20,0
ISW-2020-00083,8.14,8.11,0.731,2,1,5,33,6,0,36,6.2,9.6,0,0,0,1,1,24,0
ISW-2018-00084,7.35,7.12,0.8367,0,0,5,0,1,0,0,5.6,7.6,0,3,1,0,1,18,0
ISW-2022-00085,8.35,8.11,0.775,0,0,6,0,1,0,0,5.9,9.9,1,1,0,1,1,19,0
ISW-2023-00086,8.35,7.8,0.9223,0,0,6,0,1,0,0,5.4,8.2,0,2,2,0,1,26,0
ISW-2019-00087,9.13,9.47,0.7811,2,1,7,26,5,1,22,6.7,10.0,1,1,0,1,0,22,0
ISW-2019-00088,9.2,9.43,0.7988,4,3,7,10,3,1,17,6.6,9.8,0,2,1,0,1,22,1
ISW-2024-00089,9.61,9.32,0.9294,0,0,7,0,1,0,0,8.2,10.0,1,0,0,0,0,20,0
ISW-2023-00090,9.38,9.73,0.9442,2,1,5,12,3,0,2,8.0,10.0,0,1,0,0,0,24,0
ISW-2019-00091,9.38,9.27,0.9473,0,0,7,0,1,0,0,7.3,10.0,0,1,0,1,0,26,0
ISW-2024-00092,8.46,8.47,0.7316,2,1,7,26,5,0,38,5.9,9.7,1,0,1,1,0,25,0
