variable,importancia,importancia_pct,rank
materias_reprobadas,0.15561907328272231,15.56,1
asistencia_promedio,0.1397544575528747,13.98,2
parciales_reprobados,0.11282687856253153,11.28,3
promedio_actual,0.09081898478877931,9.08,4
materias_recursadas,0.08761712066887964,8.76,5
promedio_general,0.07557829663314777,7.56,6
calificacion_minima_parcial,0.05419808291028634,5.42,7
calificacion_maxima_parcial,0.0487358354099074,4.87,8
materias_aprobadas,0.04363969825766718,4.36,9
cuatrimestre_actual,0.0319746522405352,3.2,10
preferencia_carrera,0.031720007309561725,3.17,11
edad_ingreso,0.030864364385738943,3.09,12
cuatrimestres_retraso,0.024972611770435072,2.5,13
turno,0.018883748763911322,1.89,14
beneficiario_beca,0.01802099765780691,1.8,15
materias_inscritas,0.014738536991758412,1.47,16
trabaja,0.011733445221031199,1.17,17
foraneo,0.00830320759242514,0.83,18
