variable,importancia_media,importancia_std
calificacion_minima_parcial,-0.0067077294796701326,0.004561916900003792
turno,-0.004471707825281468,0.004144906181113181
edad_ingreso,-0.0024045390823620007,0.003450282708613572
materias_inscritas,-0.0013651192419892877,0.001486607168504215
foraneo,-0.0004226904387370389,0.004834437032688224
promedio_general,0.00023931817753377604,0.007100844712193634
cuatrimestre_actual,0.00044840050412296993,0.011422211352622455
calificacion_maxima_parcial,0.0018247062169892247,0.010334877453857147
trabaja,0.003209784817723671,0.002967208570199898
materias_aprobadas,0.003406050138529493,0.007440359388560466
promedio_actual,0.010095642316738063,0.013425769556247108
beneficiario_beca,0.010388894655271375,0.00882776250179882
cuatrimestres_retraso,0.01103049481274514,0.006237431040338696
preferencia_carrera,0.013867249733579824,0.008959424217694082
materias_recursadas,0.03317448506396531,0.013738443593263889
asistencia_promedio,0.041007478870331314,0.01766789891283811
materias_reprobadas,0.05933986331972041,0.01640072559598301
parciales_reprobados,0.07151106263561073,0.02325478845779869
